,TickerPairA,TickerPairB,TickerPairC,Route
216,BTC-USDT,LMCH-BTC,LMCH-USDT,0
217,BTC-USDT,LOKI-BTC,LOKI-USDT,0
218,BTC-USDT,LOON-BTC,LOON-USDT,0
219,BTC-USDT,LTC-BTC,LTC-USDT,0
220,BTC-USDT,LUCY-BTC,LUCY-USDT,0
221,BTC-USDT,LUNA-BTC,LUNA-USDT,0
222,BTC-USDT,MATIC-BTC,MATIC-USDT,0
223,BTC-USDT,MDT-BTC,MDT-USDT,0
224,BTC-USDT,MFA-BTC,MFA-USDT,0
225,BTC-USDT,MKR-BTC,MKR-USDT,0
226,BTC-USDT,MOF-BTC,MOF-USDT,0
227,BTC-USDT,NEO-BTC,NEO-USDT,0
228,BTC-USDT,NFLX-BTC,NFLX-USDT,0
229,BTC-USDT,NMR-BTC,NMR-USDT,0
230,BTC-USDT,NPXS-BTC,NPXS-USDT,0
231,BTC-USDT,NVT-BTC,NVT-USDT,0
232,BTC-USDT,OCEAN-BTC,OCEAN-USDT,0
233,BTC-USDT,OMG-BTC,OMG-USDT,0
234,BTC-USDT,ONT-BTC,ONT-USDT,0
235,BTC-USDT,OXT-BTC,OXT-USDT,0
236,BTC-USDT,PFE-BTC,PFE-USDT,0
237,BTC-USDT,PMA-BTC,PMA-USDT,0
238,BTC-USDT,QLC-BTC,QLC-USDT,0
239,BTC-USDT,REN-BTC,REN-USDT,0
240,BTC-USDT,RENBTC-BTC,RENBTC-USDT,0
241,BTC-USDT,REV-BTC,REV-USDT,0
242,BTC-USDT,RVC-BTC,RVC-USDT,0
243,BTC-USDT,RVN-BTC,RVN-USDT,0
244,BTC-USDT,SC-BTC,SC-USDT,0
245,BTC-USDT,SDT-BTC,SDT-USDT,0
246,BTC-USDT,SG-BTC,SG-USDT,0
247,BTC-USDT,SHR-BTC,SHR-USDT,0
248,BTC-USDT,SKM-BTC,SKM-USDT,0
249,BTC-USDT,SOLVE-BTC,SOLVE-USDT,0
250,BTC-USDT,SPY-BTC,SPY-USDT,0
251,BTC-USDT,SUKU-BTC,SUKU-USDT,0
252,BTC-USDT,SUTER-BTC,SUTER-USDT,0
253,BTC-USDT,TEA-BTC,TEA-USDT,0
254,BTC-USDT,TRAC-BTC,TRAC-USDT,0
255,BTC-USDT,TRX-BTC,TRX-USDT,0
256,BTC-USDT,TRYB-BTC,TRYB-USDT,0
257,BTC-USDT,TSLA-BTC,TSLA-USDT,0
258,BTC-USDT,TUSD-BTC,TUSD-USDT,0
259,BTC-USDT,UCT-BTC,UCT-USDT,0
260,BTC-USDT,UMA-BTC,UMA-USDT,0
261,BTC-USDT,UNI-BTC,UNI-USDT,0
262,BTC-USDT,UPUSD-BTC,UPUSD-USDT,0
263,BTC-USDT,UPXAU-BTC,UPXAU-USDT,0
264,BTC-USDT,UQC-BTC,UQC-USDT,0
265,BTC-USDT,USDC-BTC,USDC-USDT,0
266,BTC-USDT,USDN-BTC,USDN-USDT,0
267,BTC-USDT,UST-BTC,UST-USDT,0
268,BTC-USDT,VANY-BTC,VANY-USDT,0
269,BTC-USDT,VDX-BTC,VDX-USDT,0
270,BTC-USDT,VET-BTC,VET-USDT,0
271,BTC-USDT,VLX-BTC,VLX-USDT,0
272,BTC-USDT,WAXP-BTC,WAXP-USDT,0
273,BTC-USDT,WBTC-BTC,WBTC-USDT,0
274,BTC-USDT,WICC-BTC,WICC-USDT,0
275,BTC-USDT,XLM-BTC,XLM-USDT,0
276,BTC-USDT,XMR-BTC,XMR-USDT,0
277,BTC-USDT,XRP-BTC,XRP-USDT,0
278,BTC-USDT,XTZ-BTC,XTZ-USDT,0
279,BTC-USDT,XUC-BTC,XUC-USDT,0
280,BTC-USDT,XVG-BTC,XVG-USDT,0
281,BTC-USDT,XWC-BTC,XWC-USDT,0
282,BTC-USDT,YFL-BTC,YFL-USDT,0
283,BTC-USDT,ZEC-BTC,ZEC-USDT,0
284,BTC-USDT,ZRX-BTC,ZRX-USDT,0
285,BTC-USD,AAPL-BTC,AAPL-USD,0
286,ETH-USD,AAVE-ETH,AAVE-USD,0
287,USD-EUR,AAVE-USD,AAVE-EUR,0
288,BTC-USD,AAVE-BTC,AAVE-USD,0
289,USD-EUR,ETH-USD,ETH-EUR,0
290,ETH-USD,ADA-ETH,ADA-USD,0
291,ETH-USD,ATOM-ETH,ATOM-USD,0
292,ETH-USD,BAL-ETH,BAL-USD,0
293,ETH-USD,BAND-ETH,BAND-USD,0
294,ETH-USD,BAT-ETH,BAT-USD,0
295,ETH-USD,BCH-ETH,BCH-USD,0
296,ETH-USD,BSV-ETH,BSV-USD,0
297,BTC-USD,ETH-BTC,ETH-USD,0
298,ETH-USD,CELO-ETH,CELO-USD,0
299,ETH-USD,COMP-ETH,COMP-USD,0
300,ETH-USD,CRO-ETH,CRO-USD,0
301,ETH-USD,DAI-ETH,DAI-USD,0
302,ETH-USD,DASH-ETH,DASH-USD,0
303,ETH-USD,DGB-ETH,DGB-USD,0
304,ETH-USD,DOGE-ETH,DOGE-USD,0
305,ETH-USD,DOT-ETH,DOT-USD,0
306,ETH-USD,ENJ-ETH,ENJ-USD,0
307,ETH-USD,EOS-ETH,EOS-USD,0
308,ETH-USD,ETC-ETH,ETC-USD,0
309,ETH-USD,FIL-ETH,FIL-USD,0
310,ETH-USD,GRT-ETH,GRT-USD,0
311,ETH-USD,HBAR-ETH,HBAR-USD,0
312,ETH-USD,KNC-ETH,KNC-USD,0
313,ETH-USD,LINK-ETH,LINK-USD,0
314,ETH-USD,LTC-ETH,LTC-USD,0
315,ETH-USD,REN-ETH,REN-USD,0
316,ETH-USD,RENBTC-ETH,RENBTC-USD,0
317,ETH-USD,SC-ETH,SC-USD,0
318,ETH-USD,SOLVE-ETH,SOLVE-USD,0
319,ETH-USD,TRX-ETH,TRX-USD,0
320,ETH-USD,TUSD-ETH,TUSD-USD,0
321,ETH-USD,UMA-ETH,UMA-USD,0
322,ETH-USD,UNI-ETH,UNI-USD,0
323,ETH-USD,USDC-ETH,USDC-USD,0
324,ETH-USD,WAXP-ETH,WAXP-USD,0
325,ETH-USD,XLM-ETH,XLM-USD,0
326,ETH-USD,XRP-ETH,XRP-USD,0
327,ETH-USD,XTZ-ETH,XTZ-USD,0
328,ETH-USD,YFL-ETH,YFL-USD,0
329,ETH-USD,ZEC-ETH,ZEC-USD,0
330,ETH-USD,ZRX-ETH,ZRX-USD,0
331,USD-EUR,ADA-USD,ADA-EUR,0
332,USD-EUR,BAL-USD,BAL-EUR,0
333,USD-EUR,BAND-USD,BAND-EUR,0
334,USD-EUR,BCH-USD,BCH-EUR,0
335,USD-EUR,BSV-USD,BSV-EUR,0
336,USD-EUR,BTC-USD,BTC-EUR,0
337,USD-EUR,CRO-USD,CRO-EUR,0
338,USD-EUR,DOT-USD,DOT-EUR,0
339,USD-EUR,GRT-USD,GRT-EUR,0
340,USD-EUR,KNC-USD,KNC-EUR,0
341,USD-EUR,REN-USD,REN-EUR,0
342,USD-EUR,RENBTC-USD,RENBTC-EUR,0
343,USD-EUR,TRX-USD,TRX-EUR,0
344,USD-EUR,UMA-USD,UMA-EUR,0
345,USD-EUR,XLM-USD,XLM-EUR,0
346,USD-EUR,XRP-USD,XRP-EUR,0
347,USD-EUR,YFL-USD,YFL-EUR,0
348,BTC-USD,ADA-BTC,ADA-USD,0
349,BTC-USD,ALGO-BTC,ALGO-USD,0
350,BTC-USD,AMZN-BTC,AMZN-USD,0
351,BTC-USD,ATOM-BTC,ATOM-USD,0
352,BTC-USD,BABA-BTC,BABA-USD,0
353,BTC-USD,BAL-BTC,BAL-USD,0
354,BTC-USD,BAND-BTC,BAND-USD,0
355,BTC-USD,BAT-BTC,BAT-USD,0
356,BTC-USD,BCH-BTC,BCH-USD,0
357,BTC-USD,BILI-BTC,BILI-USD,0
358,BTC-USD,BNTX-BTC,BNTX-USD,0
359,BTC-USD,BSV-BTC,BSV-USD,0
360,BTC-USD,BYND-BTC,BYND-USD,0
361,BTC-USD,CELO-BTC,CELO-USD,0
362,BTC-USD,COMP-BTC,COMP-USD,0
363,BTC-USD,CRO-BTC,CRO-USD,0
364,BTC-USD,DAI-BTC,DAI-USD,0
365,BTC-USD,DASH-BTC,DASH-USD,0
366,BTC-USD,DCR-BTC,DCR-USD,0
367,BTC-USD,DGB-BTC,DGB-USD,0
368,BTC-USD,DOGE-BTC,DOGE-USD,0
