,TickerPairA,TickerPairB,TickerPairC,Route
213,BTC-USDT,LBC-BTC,LBC-USDT,
4,USDT-USD,ETH-USDT,ETH-USD,
5,USD-EUR,USDT-USD,USDT-EUR,
181,BTC-USDT,ECELL-BTC,ECELL-USDT,
272,BTC-USDT,WAXP-BTC,WAXP-USDT,
324,ETH-USD,WAXP-ETH,WAXP-USD,
10,BTC-USD,WAXP-BTC,WAXP-USD,
61,USDT-USD,WAXP-USDT,WAXP-USD, 
