Unique_id,TickerPairA,TickerPairB,TickerPairC,Percentage_profit_without_fees,Percentage_profit_with_fees,Amount_profit_USDT,maxAmount_USDT,Route,Route_Result,Alive_time,Date,Time,Status,Round,Session
79a8b6d634e54b169cd4ea9a3af46f73,BTC-USDT,LBC-BTC,LBC-USDT,0.07%,-0.68%,-0.06574596250788495,9.6430506682125,BitRoute,7.0,0,15/01/2021,01:41:06,Blocked,1,0
bc01e46dabe7429bad7f51edad64bc57,ETH-USDT,DOT-ETH,DOT-USDT,1.61%,0.86%,0.2390435357347205,27.685702828794113,BitRoute,1.0161341870112977,0,15/01/2021,16:23:53,Blocked,32,1
c5c86860f8be435da97b38853f5bc791,BTC-USDT,DOT-BTC,DOT-USDT,1.86%,1.11%,0.3083952339115166,27.78501867237393,BitRoute,1.0185984283449616,0,15/01/2021,16:23:54,Blocked,32,1
28041a4fe8324625bdb6fd251a50ac6d,USDT-USD,CRO-USDT,CRO-USD,0.51%,-0.24%,-0.06180137141103113,25.505941410115035,BitRoute,1.0050757428010288,0,15/01/2021,16:36:02,Blocked,273,1
5ef049be8464458ca84b1fb92d24f730,USDT-USD,XTZ-USDT,XTZ-USD,1.23%,0.48%,0.07309688591661077,15.367018640761962,BitRoute,1.0122520489559108,0,15/01/2021,16:36:03,Blocked,273,1
4bb230dd33c543bfba9ac1e9c35848b2,ETH-USDT,CRO-ETH,CRO-USDT,1.61%,0.86%,0.2393217087839213,27.679565042487702,BitRoute,1.016134269611508,0,15/01/2021,16:36:07,Blocked,274,1
205ffb03d9a3412fa477b269eeb49251,ETH-USDT,CRO-ETH,CRO-USDT,1.08%,0.33%,0.09123754587591218,27.80165914298544,BitRoute,1.0107803985961137,0,15/01/2021,16:36:22,Blocked,278,1
7d78a38ef365484fbe51226d2c9ed139,ETH-USDT,CELO-ETH,CELO-USDT,0.45%,-0.30%,-0.07651401393234561,25.414951247704625,BitRoute,1.0044879956053223,0,15/01/2021,16:45:28,Blocked,459,1
e1d361e7c4824cdf9c07a9102598819f,USDT-EUR,CRO-USDT,CRO-EUR,0.74%,0.10%,0.023310649549407345,24.01393238197928,BitRoute,1.0074347706134723,0,15/01/2021,16:46:30,Blocked,478,1
5aeb797222b5461786200dc8c69756b0,USDT-EUR,CRO-USDT,CRO-EUR,0.74%,0.10%,0.02358368432343369,24.014071558949148,BitRoute,1.0074436677798724,0-4,15/01/2021,16:46:45,Blocked,482,1
8e3521ab3aab41c08dd990cfcab79832,BTC-USDT,DOT-BTC,DOT-USDT,0.46%,-0.29%,-0.0803584594370639,27.636192695953145,BitRoute,1.0045908303598066,0,15/01/2021,16:47:00,Blocked,487,1
0764b172a98f4965b7b448f068c9d928,USDT-USD,CRO-USDT,CRO-USD,0.50%,-0.25%,-0.06384067504561189,25.700017835101253,BitRoute,1.005015701809318,0,15/01/2021,16:47:16,Blocked,491,1
43d08e78499e4aeaa603d2ebcc7222e0,USDT-EUR,CRO-USDT,CRO-EUR,0.74%,0.10%,0.02350858289258337,23.94181819547892,BitRoute,1.0074464481766008,0,15/01/2021,16:47:17,Blocked,491,1
6e7dde3e140c48e9a6bf79f19ed4f932,USDT-EUR,CRO-USDT,CRO-EUR,0.66%,-0.00%,-0.0002912549860273061,23.95421854678717,BitRoute,1.0066248273123444,0,15/01/2021,16:47:29,Blocked,494,1
8551740c3b064a3ea0f8e9f06f4e9e16,BTC-USDT,DFI-BTC,DFI-USDT,0.46%,-0.29%,-0.08019523585557989,27.85432445,BitRoute,1.0046209053674862,0,15/01/2021,16:47:30,Blocked,494,1
e011b1cf676e4a3bb05b3dee8f10fdf4,USDT-EUR,CRO-USDT,CRO-EUR,0.67%,0.01%,0.0012256905645419425,23.95573919831397,BitRoute,1.0066780320616486,0,15/01/2021,16:47:50,Blocked,499,1
18734019e0cc4ef1b4719e9665c97c27,USDT-EUR,CRO-USDT,CRO-EUR,0.57%,-0.11%,-0.02682704758058535,23.956198737521163,BitRoute,1.00570799925402,0,15/01/2021,16:48:03,Blocked,503,1
c1f9e5cc84134aa5be4ff24cb2fd8be8,USDT-USD,CRO-USDT,CRO-USD,1.21%,0.46%,0.11840005851462815,25.618709641256924,BitRoute,1.0121163215097997,0,15/01/2021,16:49:02,Blocked,522,1
b7b177e4c53b47a4957488f19967d09d,USDT-USD,CRO-USDT,CRO-USD,2.07%,1.32%,0.3394671122202261,25.665878896153174,BitRoute,1.0207161689701651,0-4,15/01/2021,16:50:00,Blocked,539,1
3aceaa765f0244f29b7276e46d1bf07d,USDT-USD,CRO-USDT,CRO-USD,1.11%,0.36%,0.0924752343815417,25.70330629060533,BitRoute,1.0110977952927924,0,15/01/2021,16:51:05,Blocked,555,1
1de7f59d919d4b19911a41ef68821986,USDT-USD,CRO-USDT,CRO-USD,0.95%,0.20%,0.05016994211701528,25.703739122309297,BitRoute,1.0094519235527724,0,15/01/2021,16:51:19,Blocked,558,1
c94fa34adee143a887925fb3e2af04a9,BTC-USDT,ETC-BTC,ETC-USDT,1.27%,0.53%,0.06284539991399495,11.969999988610635,BitRoute,1.012735473519064,0-5,15/01/2021,17:07:19,Blocked,866,1
19949b681bd74cad9435f71589bd40a8,BTC-USDT,CRO-BTC,CRO-USDT,0.66%,-0.09%,-0.02371565473033044,27.791020686342613,BitRoute,1.0066466432630168,0,15/01/2021,17:07:54,Blocked,877,1
847d980e54ad43cf9c08ff1521c8f051,BTC-USDT,ETC-BTC,ETC-USDT,0.44%,-0.31%,-0.03713976952164296,11.969999988610635,BitRoute,1.004395573107917,0-5,15/01/2021,17:08:28,Blocked,885,1
dac438be0f3a41c5970bcefb63887e1c,ETH-USDT,WAXP-ETH,WAXP-USDT,0.66%,-0.09%,-0.008596862521970686,9.219207876862713,BitRoute,1.0065657933126917,0,15/01/2021,17:13:10,Blocked,31,2
d6492ed7cabf43429727a016ec8cfe22,ETH-USDT,CRO-ETH,CRO-USDT,0.43%,-0.32%,-0.08838819259114791,27.809201747816488,BitRoute,1.0043231043013567,0,15/01/2021,17:13:21,Blocked,34,2
28467ac5145341538d8ebd371d07f8f6,ETH-USDT,WAXP-ETH,WAXP-USDT,0.52%,-0.23%,-0.02091097971175292,9.219207876862713,BitRoute,1.0052340279595806,0-5,15/01/2021,17:13:22,Blocked,34,2
7376896529774d88a8b991c2c71a5eb9,BTC-USDT,CRO-BTC,CRO-USDT,0.83%,0.08%,0.021149228084310384,27.85432445,BitRoute,1.008261737737681,0,15/01/2021,17:13:23,Blocked,34,2
20f74508a376421f9520b6adcef182ff,ETH-USDT,WAXP-ETH,WAXP-USDT,0.53%,-0.22%,-0.02005345497848072,9.219207876862713,BitRoute,1.0053156479708518,0-4,15/01/2021,17:13:40,Blocked,39,2
356542f8943849a3a49451194d494118,BTC-USDT,CRO-BTC,CRO-USDT,0.63%,-0.12%,-0.022138077365568262,19.101367104239028,BitRoute,1.0063386829130536,0,15/01/2021,17:14:07,Blocked,47,2
a4d1ad8d6ed041b982a03480e463fbef,BTC-USDT,ECELL-BTC,ECELL-USDT,3.48%,2.74%,0.38166413362387264,13.947993915899165,BitRoute,1.0348158739180342,0,15/01/2021,17:18:48,Blocked,142,2
cb74bd3212664a10bd1f2affe2d31888,ETH-USDT,CRO-ETH,CRO-USDT,0.47%,-0.28%,-0.07709901824764502,27.563821981056037,BitRoute,1.0046955866383347,0,15/01/2021,17:19:09,Blocked,149,2
a2526aeef3534d158c5fadab8c9d2e33,BTC-USDT,ECELL-BTC,ECELL-USDT,1.43%,0.68%,0.0950998256333258,13.947993915899165,BitRoute,1.0142972316741226,0,15/01/2021,17:20:06,Blocked,169,2
5f3644b2573743ff87cc1127318faa96,BTC-USDT,CRO-BTC,CRO-USDT,0.50%,-0.25%,-0.0684651461743909,27.60081942089177,BitRoute,1.0050181191090493,0,15/01/2021,17:21:44,Blocked,202,2
fd2315b77eed4972aceee614a3364526,BTC-USDT,ECELL-BTC,ECELL-USDT,1.53%,0.78%,0.10926189461843194,13.947993915899165,BitRoute,1.0153323370602678,0,15/01/2021,17:33:17,Blocked,428,2
18c4630e94874506a9ba98b1f3d21dd7,BTC-USDT,CRO-BTC,CRO-USDT,0.57%,-0.18%,-0.029664851177614582,16.372360596360387,BitRoute,1.0056868272503134,0,15/01/2021,17:37:13,Blocked,493,2
aa23b4e638834667b4db6bb3f16016c9,USDT-EUR,CRO-USDT,CRO-EUR,0.61%,-0.06%,-0.010764644447136151,18.135137749816717,BitRoute,1.0061384585562616,0,15/01/2021,17:40:02,Blocked,544,2
bbc11fde1fa34a819416abcf95e717d7,USDT-EUR,CRO-USDT,CRO-EUR,0.80%,0.17%,0.030706896826063423,18.135137749816717,BitRoute,1.0080235039376575,0,15/01/2021,17:40:08,Blocked,546,2
80d344cf560d44b781e000e19c068598,USDT-EUR,CRO-USDT,CRO-EUR,0.73%,0.09%,0.015836475109908987,18.135137749816717,BitRoute,1.0073492549682654,0,15/01/2021,17:40:15,Blocked,548,2
199c480ced554de4afa94736bc2442e4,BTC-USDT,CRO-BTC,CRO-USDT,0.45%,-0.30%,-0.0839036472333458,27.775660822043108,BitRoute,1.0044813850719203,0,15/01/2021,17:40:37,Blocked,555,2
2f801b8c60ad4dd19c3d59672da8ca33,USDT-USD,CRO-USDT,CRO-USD,0.54%,-0.21%,-0.05424217105860829,25.61803839335116,BitRoute,1.0053825126962608,0,15/01/2021,17:41:34,Blocked,569,2
a1b7c58aa39c47e8a2fbabe6cdee876d,USDT-USD,CRO-USDT,CRO-USD,0.47%,-0.28%,-0.07120315548434418,25.61922466115095,BitRoute,1.0047206026170563,0,15/01/2021,17:41:56,Blocked,574,2
eba988050d7b48a79589a10c71d6317a,BTC-USDT,ECELL-BTC,ECELL-USDT,2.25%,1.50%,0.20891980764673945,13.947993915899165,BitRoute,1.0224735364032194,0,15/01/2021,17:43:32,Blocked,605,2
1632a503cfd6410d9fc4540d792c9449,USDT-EUR,CRO-USDT,CRO-EUR,0.43%,-0.28%,-0.02798152254122416,9.85476523302022,BitRoute,1.0042846256842628,3-8,15/01/2021,17:43:35,Blocked,606,2
85ffe06d4ae240879d292ebdd93b40ca,BTC-USDT,ECELL-BTC,ECELL-USDT,1.97%,1.23%,0.17090735122732176,13.947993915899165,BitRoute,1.0197301226957378,0,15/01/2021,17:44:06,Blocked,616,2
5014695d87b54421ad66712e098a31d8,ETH-USDT,WAXP-ETH,WAXP-USDT,0.47%,-0.28%,-0.029826046694277988,10.788480363690075,BitRoute,1.0047353801750551,0-5,15/01/2021,17:49:09,Blocked,709,2
b855c91716384d26a9e4b8cfaf097ebc,USDT-USD,BSV-USDT,BSV-USD,0.85%,0.10%,0.025045939901763403,25.623477549051326,BitRoute,1.00847752054879,0,15/01/2021,17:49:18,Blocked,711,2
d2000c20141b45fc937766d1d4737e30,BTC-USDT,ETC-BTC,ETC-USDT,0.54%,-0.21%,-0.02520387011409153,11.969999976297204,BitRoute,1.0053952510429858,33-37,15/01/2021,17:49:24,Blocked,712,2
052b202ac02842cf950b46df9fca0c66,USDT-USD,CRO-USDT,CRO-USD,0.89%,0.14%,0.03652175867798038,25.625864688938012,BitRoute,1.0089213927736171,0,15/01/2021,17:52:19,Blocked,759,2
8a31af66bcb0488f812b9174d07913d3,ETH-USDT,CRO-ETH,CRO-USDT,0.79%,0.04%,0.011646404324505059,27.674899690654712,BitRoute,1.0079055457734742,0,15/01/2021,17:54:34,Blocked,789,2
4a8fb10366bb4bfc9812c12695a2b8b7,ETH-USDT,NMR-ETH,NMR-USDT,0.82%,0.07%,0.010090104910705569,14.44002659252316,BitRoute,1.0081848054281293,30-34,15/01/2021,17:55:15,Blocked,799,2
4ab3a3e413694929b583741c9bf06365,ETH-USDT,NMR-ETH,NMR-USDT,0.82%,0.07%,0.019591032109411044,27.47157381299277,BitRoute,1.0082068297691291,28-33,15/01/2021,17:57:06,Blocked,829,2
d19a5c6c8eb64136a3f320a9aa244cfc,USDT-USD,BSV-USDT,BSV-USD,0.44%,-0.31%,-0.07910974055058705,25.19894709883205,BitRoute,1.0043607797688048,0,15/01/2021,18:01:00,Blocked,895,2
b0cc1fc7c626469bac7b4d3b3260864d,BTC-USDT,GNC-BTC,GNC-USDT,1.23%,0.48%,0.13330412408362813,27.854324450000004,BitRoute,1.012266554449885,0,15/01/2021,18:03:16,Blocked,921,2
c770ec9ebf794fe0bc1ff580c55954b4,BTC-USDT,LBC-BTC,LBC-USDT,0.82%,0.07%,0.019662410035812733,27.85432445,BitRoute,1.0082059015224407,0,15/01/2021,18:03:50,Blocked,928,2
6e6d0623dd6c4cc2a3dde285cff9e45e,USDT-USD,BSV-USDT,BSV-USD,0.61%,-0.14%,-0.03618531781510737,25.75195887318212,BitRoute,1.006093951994942,0,15/01/2021,18:04:06,Blocked,931,2
e5b63d0b96ba457481b312733ebc029e,BTC-USDT,CNTM-BTC,CNTM-USDT,0.81%,0.06%,0.011872395634070554,21.07228725,BitRoute,1.008063412765459,0,15/01/2021,18:04:23,Blocked,934,2
